Person ID,Name,Gender,Age,Address,Aadhaar,Hand,Finger,Image Path
100,Vikram K,Male,38,Kanchipuram,1063 6488 3443,Left,index,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Left_index_finger.BMP
100,Akash G,Male,60,Thanjavur,3427 5916 9863,Left,little,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Left_little_finger.BMP
100,Akash L,Male,49,Coimbatore,2846 7331 2549,Left,middle,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Left_middle_finger.BMP
100,Rahul D,Male,52,Thanjavur,2143 7594 2287,Left,ring,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Left_ring_finger.BMP
100,Akash G,Male,49,Kanchipuram,1237 5618 8995,Left,thumb,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Left_thumb_finger.BMP
100,Siddharth B,Male,39,Tirunelveli,6341 2462 8652,Right,index,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Right_index_finger.BMP
100,Vikram R,Male,40,Kanchipuram,1418 1888 4860,Right,little,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Right_little_finger.BMP
100,Siddharth N,Male,25,Madurai,8281 5923 5769,Right,middle,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Right_middle_finger.BMP
100,Akash L,Male,44,Tirunelveli,7491 7330 1460,Right,ring,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Right_ring_finger.BMP
100,Siddharth J,Male,24,Vellore,7086 6424 9344,Right,thumb,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\100__M_Right_thumb_finger.BMP
101,Siddharth Q,Male,61,Salem,1205 7869 9120,Left,index,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Left_index_finger.BMP
101,Kiran Y,Male,21,Tiruchirapalli,8982 2307 5545,Left,little,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Left_little_finger.BMP
101,Naveen F,Male,32,Tiruchirapalli,6322 4616 9907,Left,middle,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Left_middle_finger.BMP
101,Rahul M,Male,56,Tiruchirapalli,8561 3795 8379,Left,ring,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Left_ring_finger.BMP
101,Akash E,Male,61,Tiruchirapalli,8265 4286 9758,Left,thumb,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Left_thumb_finger.BMP
101,Akash R,Male,30,Kanchipuram,6376 9978 3680,Right,index,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Right_index_finger.BMP
101,Rahul C,Male,25,Tirunelveli,5282 8953 6537,Right,little,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Right_little_finger.BMP
101,Akash A,Male,44,Thanjavur,2974 5379 9089,Right,middle,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Right_middle_finger.BMP
101,Vikram B,Male,49,Madurai,6702 7042 5250,Right,ring,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Right_ring_finger.BMP
101,Vikram Q,Male,59,Tiruchirapalli,3618 1524 8783,Right,thumb,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\101__M_Right_thumb_finger.BMP
102,Rahul F,Male,23,Tirunelveli,1264 5167 1186,Left,index,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\102__M_Left_index_finger.BMP
102,Naveen V,Male,53,Salem,6014 3547 5222,Left,little,C:/manoj/projects/llb/archive (1)/SOCOFing/Real\102__M_Left_little_finger.BMP
